bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000052,20,0,0.73,0,5,490341.3188,3,8,0.78,5,1,0,233.21,保证,否,自置,1,0.35,0,0
BAD,A000053,10/MISS,1,0.19,1,4,200000,2,3,0.53,4,0,0,,抵押,否,自置,8,0.22,1.45,0
GOOD,A000054,10/MISS,0,,,,,,,,,,,,保证,,自置,10,10,0,20
GOOD,A000055,20,0,1,1,9,70000,2,2,0.94,3,0,0,,抵押,否,自置,10,0.06,1.44,2.3995215354
BAD,A000056,20,1,0.73,0,6,650,3,4,0.93,5,0,3,17.52,保证,否,自置,8,1,0,0
GOOD,A000057,20,0,1,1,8,200000,1,1,0.9,3,0,0,,保证,否,其他,3,0.11,0,0
GOOD,A000058,10/MISS,0,0.7,8,11,9000,1,2,0.94,8,0,0,,保证,否,自置,6,0.13,0,0
BAD,A000059,20,1,0.48,2,14,6000,1,2,0.91,9,0,1,496.39,保证,否,自置,7,0.14,0,0
GOOD,A000060,10/MISS,0,0.2,2,0,800,1,4,0.76,9,0,0,771.25,保证,否,自置,4,0.09,0,0
BAD,A000061,20,1,0.7,1,0,150000,3,3,0.83,5,0,0,,保证,否,自置,6,1,1.4,0.7319931515
GOOD,A000062,20,0,0.3,0,1,15000,2,2,0.85,1,0,0,,信用,否,其他,7,0.67,0,0
GOOD,A000063,20,0,0.64,0,1,5000,1,2,0.89,4,0,1,865.83,信用,否,自置,3,2,0,0
BAD,A000064,20,1,0.74,1,4,442670,9,11,0.8,9,0,2,71.27,保证,否,自置,9,0.62,0,0
GOOD,A000065,20,0,0.74,2,3,200000,1,3,0.86,2,0,0,,保证,否,自置,1,0.6,0,0
BAD,A000066,20,1,0.42,2,1,30000,4,8,0.54,4,0,0,,抵押,否,自置,7,0.9,2.78,0
GOOD,A000067,20,0,0.95,1,5,13000,1,3,0.97,4,0,1,0,保证,否,自置,3,1.33,0,2.8932645765
BAD,A000068,10/MISS,1,0.72,8,5,63000,1,2,0.98,8,0,0,,保证,否,自置,7,0.33,0,0
GOOD,A000069,20,0,0.84,1,1,25000,7,9,0.49,7,0,1,,保证,否,自置,2,0.53,0,0
GOOD,A000070,20,0,0.46,3,5,80000,1,2,0.93,3,0,0,,保证,否,自置,3,0.6,0,2.0162008459
BAD,A000071,20,1,0.48,0,4,278000,3,5,0.93,9,0,0,,保证,否,自置,5,0.43,0,0
BAD,A000072,20,1,0.27,1,1,300000,2,3,0.69,5,0,1,59.7,保证,否,自置,14,0.36,0,0
BAD,A000073,20,1,0.72,1,2,80000,2,3,0.88,7,1,3,89.19,保证,否,自置,23,0.21,0,0
BAD,A000074,20,1,0.29,0,1,490341.3188,14,20,0.23,8,0,1,85.61,保证,否,自置,13,0.23,0,0
GOOD,A000075,10/MISS,0,,,,,,,,,,,,抵押,,自置,20,10,1.43,20
GOOD,A000076,20,0,0.69,1,7,3288,1,2,0.96,5,0,3,,保证,否,自置,4,0.5,0,2.3491548915
GOOD,A000077,10/MISS,0,0.54,2,2,50000,2,2,0.92,4,0,0,92.07,信用,否,自置,6,0.5,0,0
BAD,A000078,10/MISS,1,1,3,5,50000,0,2,0.94,3,0,0,,保证,否,自置,1,3.6,0,4.3608372808
GOOD,A000079,20,0,0.61,0,7,3900,1,2,0.94,5,0,0,282.87,保证,是,自置,5,1,0,0
BAD,A000080,20,1,0.5,3,6,10000,0,2,0.93,8,0,0,,保证,否,自置,10,0.52,0,0
