bad_flag_desc,ID,MARRIAGE_STAT2,bad_flag,creditcard_usage,vouch_query_cnt_12,loan_query_cnt_12,least_limit_loan,most_due_time_loan_credit,most_due_time_loan_credit_24,pay_time_rate_loan_credit_6,creditcard_industry_cnt,house_loan_cnt,usage_more_100_creditcard_cnt,avg_deposit_6,Vouch_Name,vehicle_loan_due_3,LIVESTAT_CD2,workyear2,due_to_loan_balance,credit_due_to_loan_balance,asset_to_line
GOOD,A000052,10/MISS,0,0.24,2,13,10000,0,0,1,4,0,0,,保证,否,自置,2,0.5,0,1.5872525602
GOOD,A000053,10/MISS,0,0.68,0,0,300000,2,4,0.5,3,0,0,,保证,否,自置,2,0.8,0,0
GOOD,A000054,20,0,0.52,3,10,420000,0,1,1,4,0,0,,保证,否,自置,2,0.38,0,1.5587448309
GOOD,A000055,20,0,0.39,1,5,10000,0,2,0.95,3,0,0,,保证,否,自置,15,10,0,0
GOOD,A000056,20,0,0.43,4,6,81000,0,1,0.98,8,0,0,,保证,否,自置,4,0.24,0,1.6170606365
GOOD,A000057,20,0,0.75,5,11,100000,1,3,0.97,5,0,0,220.35,抵押,否,自置,2,0.12,1.5,4.0666380496
BAD,A000058,20,1,0.7,1,3,20000,0,0,1,6,0,0,,信用,否,自置,3,2.5,0,20
GOOD,A000059,20,0,0.85,5,4,389000,1,2,0.98,3,0,0,,保证,否,自置,12,0.75,0,1.1357568735
GOOD,A000060,10/MISS,0,0.49,1,5,80000,0,2,0.96,4,0,0,,信用,否,自置,2,0.2,0,4.447020671
GOOD,A000061,20,0,0.07,0,6,490341.3188,1,2,0.97,4,0,0,,保证,否,自置,19,0.3,0,6.3480376197
GOOD,A000062,10/MISS,0,0.9,2,1,100000,0,0,1,2,0,0,,信用,否,其他,3,0.1,0,0
GOOD,A000063,20,0,0.1,0,3,220000,1,2,0.85,3,0,1,,保证,否,自置,7,0.75,0,0
GOOD,A000064,20,0,0.58,3,7,150000,0,1,0.95,3,0,0,527.08,保证,否,其他,4,0.33,0,1.5518075905
BAD,A000065,20,1,0.46,0,12,800,0,1,0.97,1,0,0,,保证,否,自置,4,10,0,0
GOOD,A000066,20,0,0.73,0,5,100000,0,1,0.97,6,0,1,,保证,否,自置,10,0.33,0,2.0657315788
GOOD,A000067,20,0,0.91,6,11,490341.3188,0,0,1,2,0,0,,保证,否,自置,7,0.37,0,0
GOOD,A000068,20,0,0.44,1,4,200000,0,1,1,2,0,0,,保证,否,自置,0,10,0,0
GOOD,A000069,20,0,0.85,2,7,10000,0,1,1,10,0,0,,保证,否,自置,6,0.24,0,0
BAD,A000070,20,1,0.53,3,12,65000,0,2,0.97,7,0,0,,保证,否,自置,12,0.33,0,3.9766917949
GOOD,A000071,20,0,0.8,4,3,51000,1,1,0.96,7,0,0,,保证,否,自置,2,0.5,0,1.9780843327
GOOD,A000072,20,0,0.73,5,8,20000,0,0,1,6,0,0,,保证,否,自置,3,0.24,0,0
GOOD,A000073,20,0,0.75,8,8,260000,0,0,0.98,5,0,1,240.03,保证,否,自置,14,0.4,0,7.9671208305
GOOD,A000074,10/MISS,0,0.69,1,8,13000,0,0,1,2,0,2,,保证,否,自置,4,0.33,0,2.4099342847
GOOD,A000075,10/MISS,0,0.99,2,7,3880,0,0,1,2,0,0,,保证,否,自置,3,0.4,0,1.645589409
GOOD,A000076,20,0,0.68,4,5,290000,0,1,1,8,0,0,,保证,否,自置,1,0.18,0,0
GOOD,A000077,20,0,0.66,3,5,410000,0,1,0.96,1,0,0,,保证,否,自置,18,0.22,0,0
GOOD,A000078,10/MISS,0,0.83,0,0,0,0,0,1,1,0,0,,信用,否,自置,7,10,0,13.483731181
GOOD,A000079,20,0,0.64,3,4,52000,0,2,0.96,6,0,0,,保证,否,自置,0,0.43,0,0
GOOD,A000080,20,0,0.49,0,2,150000,0,1,1,1,0,0,,信用,否,自置,4,0.33,0,0
GOOD,A000081,20,0,0.52,6,10,100000,0,3,0.96,6,0,0,,抵押,否,自置,2,0.04,1.43,3.0899183113
GOOD,A000082,10/MISS,0,1,1,3,400000,0,0,1,1,0,0,383.94,保证,否,自置,2,1.25,0,2.1958621174
GOOD,A000083,20,0,0.98,2,5,6800,0,2,1,3,0,1,1.67,保证,否,自置,8,0.77,0,2.1493985522
GOOD,A000084,10/MISS,0,0.75,3,6,150000,0,1,0.96,5,0,1,,保证,否,自置,6,1,0,4.9560563008
GOOD,A000085,20,0,0,3,3,50000,0,2,1,1,0,0,,保证,否,自置,3,0.67,0,1.9272727273
GOOD,A000086,20,0,0.61,1,11,40000,0,1,0.98,7,0,0,,保证,否,自置,6,0.5,0,2.1474856318
GOOD,A000087,20,0,0.33,4,7,95000,0,1,1,5,0,2,,保证,否,自置,10,0.23,0,1.8394038942
GOOD,A000088,20,0,0.73,1,3,0,1,3,0.98,9,0,0,,保证,否,自置,5,10,0,1.2377675048
GOOD,A000089,20,0,0.06,3,5,80000,0,0,1,2,0,0,,信用,否,自置,0,0.5,0,2.2222222222
